Video ID,Title,Channel,Upload Date,Views,Likes,Comments,Duration (min),Has Subtitles?,Subtitle Languages,Highest Quality,URL
pXGBHV3y8rs,"Gradient Descent For Neural Network | Deep Learning Tutorial 12 (Tensorflow2.0, Keras & Python)",codebasics,20200814,223678,5316,347,41.57,No,,1920x1080,https://www.youtube.com/watch?v=pXGBHV3y8rs
E1yyaLRUnLo,"Loss or Cost Function | Deep Learning Tutorial 11 (Tensorflow Tutorial, Keras & Python)",codebasics,20200814,184880,4089,108,24.62,No,,1920x1080,https://www.youtube.com/watch?v=E1yyaLRUnLo
GKGIYPmdXGc,NVIDIA TITAN RTX UNBOXING,codebasics,20200731,5213,182,48,3.03,No,,1920x1080,https://www.youtube.com/watch?v=GKGIYPmdXGc
Wibxjrxf5ko,"Matrix Basics | Deep Learning Tutorial 10 (Tensorflow Tutorial, Keras & Python)",codebasics,20200804,144834,3327,82,11.68,Yes,live_chat,1920x1080,https://www.youtube.com/watch?v=Wibxjrxf5ko
cT4pQT5Da0Q,"Derivatives | Deep Learning Tutorial 9 (Tensorflow Tutorial, Keras & Python)",codebasics,20200801,144891,3963,186,12.58,Yes,live_chat,1920x1080,https://www.youtube.com/watch?v=cT4pQT5Da0Q
iqQgED9vV7k,Neural Network For Handwritten Digits Classification | Deep Learning Tutorial 7 (Tensorflow2.0),codebasics,20200718,529839,8635,524,36.65,Yes,live_chat,1920x1080,https://www.youtube.com/watch?v=iqQgED9vV7k
icZItWxw7AI,"Activation Functions | Deep Learning Tutorial 8 (Tensorflow Tutorial, Keras & Python)",codebasics,20200720,300272,9656,190,16.48,Yes,live_chat,1920x1080,https://www.youtube.com/watch?v=icZItWxw7AI
3r-zD_i4rbs,Data science career tips from Ken Jee (Data scientist and a youtuber),codebasics,20200721,4109,171,20,53.52,Yes,live_chat,1280x720,https://www.youtube.com/watch?v=3r-zD_i4rbs
z-ZR_8BZ1wQ,"Pytorch vs Tensorflow vs Keras | Deep Learning Tutorial 6 (Tensorflow Tutorial, Keras & Python)",codebasics,20200717,339401,4602,68,2.27,No,,1920x1080,https://www.youtube.com/watch?v=z-ZR_8BZ1wQ
VC-EliTgMEM,"Install tensorflow 2.0 | Deep Learning Tutorial 5 (Tensorflow Tutorial, Keras & Python)",codebasics,20200716,318590,2696,175,2.62,No,,1920x1080,https://www.youtube.com/watch?v=VC-EliTgMEM
